name,title,company,profile_url
Maryna Hradovich,Co-Founder and Chief Operating Officer,Maestra,https://www.stage2.capital/team/maryna-hradovich
Matt Bennetti,CMO,Vladio,https://www.stage2.capital/team/matt-bennetti
Mauricio Suarez,Founder &amp; CEO,SAASMURAI,https://www.stage2.capital/team/mauricio-suarez
Michael Mooney,"Senior Vice President, North America Sales",Bitsight,https://www.stage2.capital/team/michael-mooney
Mike Connolly,Founder and CEO,Pay Forward Coaching,https://www.stage2.capital/team/mike-connolly
Nate Skinner,CMO,8am <8am.com>,https://www.stage2.capital/team/nate-skinner
Nick Graham,CRO,Formlabs,https://www.stage2.capital/team/nick-graham
Ozge Tuncel Ozcan,Chief Customer Officer,Forter,https://www.stage2.capital/team/ozge-tuncel-ozcan
Pete von Burchard,SVP Revenue Growth,Sequel.io,https://www.stage2.capital/team/pete-von-burchard
Pramod Iyengar,Chief Financial Officer,"Veem, Inc.",https://www.stage2.capital/team/pramod-iyengar
Rachel Clapp Miller,CMO,Force Management,https://www.stage2.capital/team/rachel-clapp-miller
Rex Gelb,Founder/CEO,Summit Chase,https://www.stage2.capital/team/rex-gelb
Ronak Majmudar,Senior Vice President Global Customer Success &amp; Solution Engineering,Zuora,https://www.stage2.capital/team/ronak-majmudar
Ryan Radding,Senior Vice President (SVP) U.S. and Canada Financial Services Enterprise Sales,Salesforce,https://www.stage2.capital/team/ryan-radding
Salman Syed,CEO,Astrada,https://www.stage2.capital/team/salman-syed
Scott Barbour,CEO,Rain Defense <http://raindefense.com>,https://www.stage2.capital/team/scott-barbour
Sean Holcombe,"Executive Vice President, Global Strategic Sales &amp; Partnerships",Qualtrics,https://www.stage2.capital/team/sean-holcombe
Semir Jahic,CEO &amp; Co-Founder,salesmotion.io,https://www.stage2.capital/team/semir-jahic
Shawn Green,Chief Revenue Officer EVP GTM,Carbon6,https://www.stage2.capital/team/shawn-green
Steve Travaglini,"Founder, CEO",Winrate,https://www.stage2.capital/team/steve-travaglini
Tom Salah,CRO,Blancco Technology Group,https://www.stage2.capital/team/tom-salah
Travis Dion,"Senior Vice President, Alliances &amp; Channels",WalkMe,https://www.stage2.capital/team/travis-dion
Tyler Hoffman,"SVP, Finance",Branching Minds,https://www.stage2.capital/team/tyler-hoffman
Vaishali Rana Reed,Chief Operating Officer | Executive Producer,The Reeder,https://www.stage2.capital/team/vaishali-rana-reed
Wendy Wu,CMO,SailPoint,https://www.stage2.capital/team/wendy-wu
